# Compiled from https://de.wikipedia.org/wiki/Liste_der_Flugzeugtypencodes
CVF,,Convair CV-240
CVR,,Convair CV-240
CVV,CVLP,Convair CV-240
CVX,CVLP,Convair CV-440
CVY,CVLT,Convair CV-580
CWC,C46,Curtiss C-46
D10,DC10,Douglas DC-10
D11,DC10,Douglas DC-10
D1C,DC10,Douglas DC-10
D1F,DC10,Douglas DC-10
D1M,DC10,Douglas DC-10
D1X,DC10,Douglas DC-10
D1Y,DC10,Douglas DC-10-
D28,D228,Fairchild Dornier 228
D38,D328,Fairchild Dornier 328
D3F,DC3,Douglas DC-3
D6F,DC6,Douglas DC-6
D8F,,Douglas DC-8
D8L,DC86,Douglas DC-8
D8M,,Douglas DC-8
D8Q,DC87,Douglas DC-8
D8T,DC85,Douglas DC-8
D8X,,Douglas DC-8
D8Y,DC87,Douglas DC-8
D91,DC91,Douglas DC-9
D92,DC92,Douglas DC-9
D93,DC93,Douglas DC-9
D94,DC94,Douglas DC-9
D95,DC95,Douglas DC-9
D9C,DC93,Douglas DC-9
D9F,DC94,Douglas DC-9
D9F,,Douglas DC-9
D9X,DC91,Douglas DC-9
DC3,DC3,Douglas DC-3
DC6,DC6,Douglas DC-6
DC8,,Douglas DC-8
DC9,DC9,Douglas DC-9
DF2,,Dassault (Breguet Mystere) Falcon
DF3,,Dassault (Breguet Mystere) Falcon
DFL,,Dassault (Breguet Mystere) Falcon
DH1,DH8A,De Havilland Canada DHC-8-100
DH2,DH8B,De Havilland Canada DHC-8-200
DH3,DH8C,De Havilland Canada DHC-8-300
DH4,DH8D,De Havilland Canada DHC-8-400
DH6,COMT,De Havilland D.H.106 Comet
DH7,DHC7,De Havilland Canada DHC-7
DH8,,De Havilland Canada DHC-8
DHB,,De Havilland Canada DHC-2
DHC,DHC4,De Havilland Canada DHC-4
DHD,DOVE,De Havilland D.H.104 Dove
DHH,HERN,De Havilland D.H.114 Heron
DHL,DHC3,De Havilland Canada DHC-3
DHO,DHC3,De Havilland Canada DHC-3
DHP,DHC2,De Havilland Canada DHC-2
DHR,DH2T,De Havilland Canada DHC-2
DHS,DHC3,De Havilland Canada DHC-3
DHT,DHC6,De Havilland Canada DHC-6
E70,E170,Embraer 170
E90,E190,Embraer 190
EM2,E120,Embraer EMB 120
EMB,E110,Embraer EMB 110
EMJ,,Embraer 170
ER3,E135,Embraer ERJ 135
ER4,E145,Embraer ERJ 145
ERD,,Embraer ERJ 140
ERJ,,Embraer ERJ 135/140/145
F21,F28,Fokker F-28 Fellowship
F22,F28,Fokker F-28 Fellowship
F23,F28,Fokker F-28 Fellowship
F24,F28,Fokker F-28 Fellowship
F27,F27,Fokker F-27 Friendship
F28,F28,Fokker F-28 Fellowship
F50,F50,Fokker 50
F70,F70,Fokker 70
FA7,,Fairchild Dornier 728JET
FK7,F27,Fairchild FH.227
FRJ,J328,Fairchild Dornier 328JET
GRG,G21,Grumman G.21 Goose
GRJ,,Gulfstream Aerospace G-1159 Gulfstream
GRM,G73T,Grumman G.73 Turbo Mallard
GRS,G159,Gulfstream Aerospace G-159 Gulfstream
H25,,British Aerospace (Hawker Siddeley)
HEC,COUC,Helio H-250 Courier
HOV,,Hovercraft
HS7,A748,Hawker Siddeley
I14,I114,Iljuschin Il-114
I93,IL96,Iljuschin Il-96
I9F,IL96,Iljuschin Il-96
I9M,IL96,Iljuschin Il-96M
I9X,IL96,Iljuschin Il-96
I9Y,IL96,Iljuschin Il-96T
IL6,IL62,Iljuschin Il-62
IL7,IL76,Iljuschin Il-76
IL8,IL18,Iljuschin Il-18
IL9,IL96,Iljuschin Il-96
ILW,IL86,Iljuschin Il-86
J31,JS31,British Aerospace Jetstream 31
J32,JS32,British Aerospace Jetstream 32
J41,JS41,British Aerospace Jetstream 41
JST,,British Aerospace Jetstream 31/32/41
JU5,JU52,Junkers Ju 52
L10,L101,Lockheed L-1011 TriStar
L11,L101,Lockheed L-1011 Tristar
L15,L101,Lockheed L-1011 Tristar
L1F,L101,Lockheed L-1011 Tristar
L49,CONI,Lockheed L-1049 Super Constellation
L4T,L410,LET 410
LCH,,Launch - Boat
LMO,,Limousine
LOE,L188,Lockheed L-188 Electra
LOF,L188,Lockheed L-188 Electra
LOH,C130,Lockheed L-182/282/382 (L-100) Hercules
LOM,L188,Lockheed L-188 Electra
LRJ,,Gates Learjet
M11,MD11,McDonnell Douglas MD-11
M1F,MD11,McDonnell Douglas MD-11
M1M,MD11,McDonnell Douglas MD-11
M80,MD80,McDonnell Douglas MD-80
M81,MD81,McDonnell Douglas MD-81
M82,MD82,McDonnell Douglas MD-82
M83,MD83,McDonnell Douglas MD-83
M87,MD87,McDonnell Douglas MD-87
M88,MD88,McDonnell Douglas MD-88
M90,MD90,McDonnell Douglas MD-90
MBH,B105,Eurocopter (MBB) Bo 105
MD9,EXPL,MD Helicopters MD900 Explorer
MIH,MI8,MIL Mi-8 / Mi-17 / Mi-171 / Mil-172
MU2,MU2,Mitsubishi Mu-2
ND2,N262,Aerospatiale (Nord) 262
NDC,S601,Aerospatiale SN.601 Corvette
NDE,,Eurocopter (Aerospatiale) AS350 Ecureuil / AS355 Ecureuil 2
NDH,S65C,Eurocopter (Aerospatiale) SA365C / SA365N Dauphin 2
PA1,,Piper
PA2,,Piper
PAG,,Piper
PAT,,Piper
PL2,PC12,Pilatus PC-12
PL6,PC6T,Pilatus PC-6 Turbo Porter
PN6,P68,Partenavia P.68
,R200,Avions Pierre Robin R2000 Serie
RFS,,LKW,
S20,SB20,Saab 2000
S58,S58T,Sikorsky S-58T
S61,S61,Sikorsky S-61
S76,S76,Sikorsky S-76
SF3,SF34,Saab SF340A/B
SH3,SH33,Shorts 330 (SD3-30)
SH6,SH36,Shorts 360 (SD3-60)
SHB,BELF,Shorts SC-5 Belfast
SHS,SC7,Shorts SC-7 Skyvan
SSC,CONC,Aerospatiale/BAC Concorde
SU1,,Suchoi Superjet 100
SU7,,Suchoi Superjet 100
SU9,,Suchoi Superjet 100
SWM,SW3/SW4,Fairchild (Swearingen) SA26
T20,T204,Tupolew Tu-204/214
TRD,TRID,Hawker Siddeley Trident (HS-121)
TRN,,Train
TU3,T134,Tupolew Tu-134
TU5,T154,Tupolew Tu-154
VCV,VISC,Vickers Viscount
WWP,WW24,Israel Aircraft Industries 1124 Westwind
YK2,YK42,Jakowlew Jak-42
YK4,YK40,Jakowlew Jak-40
YN2,Y12,Harbin Yunshuji Y12
YN7,AN24,Xian Yunshuji Y7
YS1,YS11,NAMC YS-11
